generator_type,rho,alpha,delta,K,T,seed,method,concept_re_id_accuracy,assignment_entropy,wrong_memory_reuse_rate,worst_window_dip,worst_window_recovery,budget_normalized_score,final_accuracy,accuracy_auc,variant,anchor
sine,10.0,0.0,0.5,10,20,42,FPT_Full,0.88,1.079046,0.12,0.0,0,0.001493,0.656,11.941,Full,sine_easy
sine,10.0,0.0,0.5,10,20,123,FPT_Full,0.9,0.975134,0.1,0.0,0,0.0015,0.6336,12.0022,Full,sine_easy
sine,10.0,0.0,0.5,10,20,456,FPT_Full,0.94,0.769282,0.06,0.0,0,0.000947,0.5376,7.577,Full,sine_easy
sine,10.0,0.0,0.5,10,20,42,FPT_Hard assignment,0.86,0.51549,0.14,0.0,0,0.001492,0.656,11.9382,Hard assignment,sine_easy
sine,10.0,0.0,0.5,10,20,123,FPT_Hard assignment,0.865,0.504015,0.135,0.0,0,0.001497,0.6324,11.9784,Hard assignment,sine_easy
sine,10.0,0.0,0.5,10,20,456,FPT_Hard assignment,0.92,0.337958,0.08,0.0,0,0.000948,0.5376,7.581,Hard assignment,sine_easy
sine,10.0,0.0,0.5,10,20,42,FPT_No transition prior,0.835,0.600437,0.165,0.0,0,0.001494,0.6556,11.9496,No transition prior,sine_easy
sine,10.0,0.0,0.5,10,20,123,FPT_No transition prior,0.79,0.343483,0.21,0.0,0,0.001496,0.6344,11.9686,No transition prior,sine_easy
sine,10.0,0.0,0.5,10,20,456,FPT_No transition prior,0.885,0.011695,0.115,0.0,0,0.000947,0.5376,7.5746,No transition prior,sine_easy
sine,10.0,0.0,0.5,10,20,42,FPT_No spawn/merge,1.0,0.0,0.0,0.0,0,0.001497,0.656,11.9778,No spawn/merge,sine_easy
sine,10.0,0.0,0.5,10,20,123,FPT_No spawn/merge,1.0,0.0,0.0,0.0,0,0.001506,0.6332,12.0496,No spawn/merge,sine_easy
sine,10.0,0.0,0.5,10,20,456,FPT_No spawn/merge,1.0,0.0,0.0,0.0,0,0.000944,0.5376,7.5522,No spawn/merge,sine_easy
sine,10.0,0.0,0.5,10,20,42,FPT_No sticky dampening,0.88,1.079046,0.12,0.0,0,0.001493,0.656,11.941,No sticky dampening,sine_easy
sine,10.0,0.0,0.5,10,20,123,FPT_No sticky dampening,0.9,0.975134,0.1,0.0,0,0.0015,0.6336,12.0022,No sticky dampening,sine_easy
sine,10.0,0.0,0.5,10,20,456,FPT_No sticky dampening,0.94,0.769282,0.06,0.0,0,0.000947,0.5376,7.577,No sticky dampening,sine_easy
sine,10.0,0.0,0.5,10,20,42,FPT_No Phase A (model-only),1.0,0.0,0.0,0.0,0,,0.5296,9.695,No Phase A (model-only),sine_easy
sine,10.0,0.0,0.5,10,20,123,FPT_No Phase A (model-only),0.9,0.975134,0.1,0.0,0,0.0015,0.6336,12.0022,No Phase A (model-only),sine_easy
sine,10.0,0.0,0.5,10,20,456,FPT_No Phase A (model-only),0.94,0.769282,0.06,0.0,0,0.000947,0.5376,7.577,No Phase A (model-only),sine_easy
sine,10.0,0.0,0.5,10,20,42,FPT_No dynamic memory update,0.875,1.06371,0.125,0.0,0,0.001492,0.656,11.9362,No dynamic memory update,sine_easy
sine,10.0,0.0,0.5,10,20,123,FPT_No dynamic memory update,0.9,1.009007,0.1,0.0,0,0.0015,0.6336,12.0022,No dynamic memory update,sine_easy
sine,10.0,0.0,0.5,10,20,456,FPT_No dynamic memory update,0.94,0.796396,0.06,0.0,0,0.000947,0.5376,7.577,No dynamic memory update,sine_easy
sine,5.0,0.25,0.5,10,20,42,FPT_Full,0.93,1.20861,0.07,0.1056,6,0.001175,0.4604,9.3994,Full,sine_med_sync
sine,5.0,0.25,0.5,10,20,123,FPT_Full,0.925,1.217276,0.075,0.0472,1,0.001222,0.55,9.7734,Full,sine_med_sync
sine,5.0,0.25,0.5,10,20,456,FPT_Full,0.92,1.167621,0.08,0.1136,6,0.00097,0.396,7.757,Full,sine_med_sync
sine,5.0,0.25,0.5,10,20,42,FPT_Hard assignment,0.91,0.262868,0.09,0.1056,6,0.001175,0.4604,9.3974,Hard assignment,sine_med_sync
sine,5.0,0.25,0.5,10,20,123,FPT_Hard assignment,0.89,0.343734,0.11,0.0368,2,0.001227,0.55,9.8198,Hard assignment,sine_med_sync
sine,5.0,0.25,0.5,10,20,456,FPT_Hard assignment,0.885,0.368411,0.115,0.1424,6,0.000966,0.3964,7.7284,Hard assignment,sine_med_sync
sine,5.0,0.25,0.5,10,20,42,FPT_No transition prior,0.93,1.271595,0.07,0.1056,6,0.001174,0.4604,9.395,No transition prior,sine_med_sync
sine,5.0,0.25,0.5,10,20,123,FPT_No transition prior,0.925,1.572189,0.075,0.0368,1,0.001225,0.5512,9.7984,No transition prior,sine_med_sync
sine,5.0,0.25,0.5,10,20,456,FPT_No transition prior,0.95,1.367546,0.05,0.1136,6,0.00097,0.3988,7.7636,No transition prior,sine_med_sync
sine,5.0,0.25,0.5,10,20,42,FPT_No spawn/merge,0.36,0.0,0.64,0.0996,6,0.00118,0.456,9.44,No spawn/merge,sine_med_sync
sine,5.0,0.25,0.5,10,20,123,FPT_No spawn/merge,0.795,0.0,0.205,0.0576,1,0.00122,0.5508,9.7586,No spawn/merge,sine_med_sync
sine,5.0,0.25,0.5,10,20,456,FPT_No spawn/merge,0.595,0.0,0.405,0.1512,6,0.00097,0.3996,7.76,No spawn/merge,sine_med_sync
sine,5.0,0.25,0.5,10,20,42,FPT_No sticky dampening,0.93,1.20861,0.07,0.1056,6,0.001175,0.4604,9.3994,No sticky dampening,sine_med_sync
sine,5.0,0.25,0.5,10,20,123,FPT_No sticky dampening,0.925,1.217276,0.075,0.0472,1,0.001222,0.55,9.7734,No sticky dampening,sine_med_sync
sine,5.0,0.25,0.5,10,20,456,FPT_No sticky dampening,0.92,1.167621,0.08,0.1136,6,0.00097,0.396,7.757,No sticky dampening,sine_med_sync
sine,5.0,0.25,0.5,10,20,42,FPT_No Phase A (model-only),0.36,0.0,0.64,0.0636,6,,0.4788,9.449,No Phase A (model-only),sine_med_sync
sine,5.0,0.25,0.5,10,20,123,FPT_No Phase A (model-only),0.925,1.217276,0.075,0.0472,1,0.001222,0.55,9.7734,No Phase A (model-only),sine_med_sync
sine,5.0,0.25,0.5,10,20,456,FPT_No Phase A (model-only),0.92,1.167621,0.08,0.1136,6,0.00097,0.396,7.757,No Phase A (model-only),sine_med_sync
sine,5.0,0.25,0.5,10,20,42,FPT_No dynamic memory update,0.93,1.216911,0.07,0.1056,6,0.001175,0.4604,9.3994,No dynamic memory update,sine_med_sync
sine,5.0,0.25,0.5,10,20,123,FPT_No dynamic memory update,0.925,1.233483,0.075,0.0472,1,0.001222,0.55,9.7734,No dynamic memory update,sine_med_sync
sine,5.0,0.25,0.5,10,20,456,FPT_No dynamic memory update,0.92,1.169822,0.08,0.1136,6,0.00097,0.396,7.757,No dynamic memory update,sine_med_sync
sine,5.0,0.5,0.3,10,20,42,FPT_Full,0.905,1.261948,0.095,0.0676,6,0.001197,0.478,9.5796,Full,sine_med_mild
sine,5.0,0.5,0.3,10,20,123,FPT_Full,0.92,1.315902,0.08,0.0644,2,0.001199,0.5088,9.5926,Full,sine_med_mild
sine,5.0,0.5,0.3,10,20,456,FPT_Full,0.9,1.124171,0.1,0.084,6,0.001097,0.4696,8.7742,Full,sine_med_mild
sine,5.0,0.5,0.3,10,20,42,FPT_Hard assignment,0.875,0.379246,0.125,0.0872,6,0.0012,0.474,9.602,Hard assignment,sine_med_mild
